	Title	Location
493	Principal Machine Learning Engineer (Remote US or US Autodesk Offices))	Montreal, QC
494	Data Analyst	Vancouver, BC
495	Research Scientist - Translational Biology	Vancouver, BC
496	Senior Software Developer (NLP, AI and Machine Learning)	Markham, ON
497	Machine Learning Developer	Ottawa, ON
498	Lead, Data Science	Edmonton, AB
499	Tableau Data Analyst	Toronto, ON
500	Senior Machine Learning Engineer - Image Recognition	Toronto, ON
501	Data Engineer	Toronto, ON
502	Research Scientist 1 (Sherbrooke) 1 1	Fleurimont, QC
503	Data Scientist	Calgary, AB
504	Senior Research Scientist (#22960)	Chalk River, ON
505	Data Analyst, Finance	Montreal, Quebec, Canada
506	Development Researcher	Montreal, QC
507	Forecasting Analyst	Ontario, Canada
508	Junior Data Analyst to support consumer health channel and marketing report program - 15892 - Remote	Mississauga, ON
509	Lead Data Scientist	Ontario, Canada
510	Big Data Engineer	Toronto, ON
511	Data Analyst	Montreal, QC
512	Data Analytics Analyst (AVP)	Mississauga, ON
513	Principal NLP Researcher	Montreal, QC
514	Scientifique des données	Ottawa, ON
515	Data Scientist – Remote, Full-time	Montréal-Est, QC
516	Data Engineering Co-op - Product Support Engineering	Canada
517	Data Engineer	Toronto, ON
518	Research Scientist 1 (Sherbrooke) 1 1	Fleurimont, QC
519	Downstream Planning, Data Analyst	Brossard, QC
520	Machine Learning Engineer II	Vancouver, BC
521	Data Analyst (Portfolio Management)	Regina, SK
522	Data Analyst (Campaign Engagement)	Waterloo, ON
523	Senior Threat Researcher	Greater Vancouver, BC
524	Data Scientist	Calgary, AB
525	Senior Research Scientist (#22960)	Chalk River, ON
526	Data & Applied Scientist 2	Vancouver, BC
527	Data Analyst (Bilingual French & English)	Mississauga, ON
528	Principal Data Scientist	Greater Toronto Area, Canada
529	Software Engineer, Machine Learning Platform	Vancouver, BC
530	Sourcing Data Analyst	Toronto, ON
531	Data Analyst-SQL	Mississauga, ON
532	Data Analyst, Finance	Montreal, Quebec, Canada
533	Senior Machine Learning Engineer, Explore	Toronto, ON
534	Researcher – SMART Manufacturing Mechanical/Industrial	Kitchener, ON
535	Python Software Engineer	Mississauga, ON
536	Analyst, Growth	Toronto, ON
537	Data Scientist	Vancouver, BC
538	Development Researcher	Montreal, QC
539	Forecasting Analyst	Ontario, Canada
540	Quantum Software Developer	Toronto, ON
541	Commercial Data Analyst	Toronto, ON
542	Junior Data Analyst to support consumer health channel and marketing report program - 15892 - Remote	Mississauga, ON
543	CX Data Analyst - Customer Experience	Thornhill, BC
544	Lead Data Scientist	Ontario, Canada
545	Big Data Engineer	Toronto, ON
546	Data Analyst	Montreal, QC
547	Data Analytics Analyst (AVP)	Mississauga, ON
548	Data Analyst (Contract)	Toronto, ON
549	Sr. Machine Learning Engineer - Facial Recognition Models	Toronto, ON
550	Senior Data Engineer	Toronto, ON
551	ML Engineer /Data scientist	Brampton, ON
552	Senior Specialist, Data Science	Saskatoon, SK
553	Data Engineer	Ottawa, ON
554	Data Engineer	Toronto, ON
555	Machine Learning Data Engineer	Toronto, ON
556	Data Analyst	Calgary, AB
557	Data Engineer	Mississauga, ON
558	Senior Business Intelligence Engineer	Toronto, ON
559	Senior Data Scientist	Regina, Saskatchewan, Canada
560	Data Engineer (10-month contract)	Toronto, Ontario, Canada
561	Associate Researcher	Montreal, QC
562	Junior Data Engineer (6 Month Contract)	Toronto, ON
563	Senior Data Scientist, Hotel Fintech	Canada
564	Expert Data Science	Ottawa, ON
565	Researcher - Engineered wood products	Vancouver, BC
566	Senior Machine Learning Engineer II	Toronto, ON
567	Senior Specialist, Data Science	Saskatoon, SK
568	Python Software Engineer	Mississauga, ON
569	Machine Learning Engineer II	Vancouver, BC
570	Senior Threat Researcher	Greater Vancouver, BC
571	Sourcing Data Analyst	Toronto, ON
572	Nonlinear Optics Research Scientist	Markham, ON
573	Data & Applied Scientist 2	Vancouver, BC
574	Data Engineer	Ottawa, ON
575	Quantum Software Developer	Toronto, ON
576	Principal Data Scientist	Greater Toronto Area, Canada
577	Software Engineer - Machine Learning (Remote)	Ottawa, ON
578	Inference Data Scientist	Ottawa, ON
579	Senior Machine Learning Engineer, Explore	Toronto, ON
580	Data Analyst (Bilingual French & English)	Montreal, QC
581	Data Engineer	Toronto, ON
582	Machine Learning Data Engineer	Toronto, ON
583	Product Data Scientist	Waterloo, ON
584	Data Scientist	Waterloo, ON
585	Analyst, Growth	Toronto, ON
586	Data Scientist	Vancouver, BC
587	Data Scientist	Toronto, ON
588	Senior Data Scientist, Hotel Fintech	Canada
589	Expert Data Science	Ottawa, ON
590	Senior Data Scientist - RACE21	Vancouver, BC
591	Senior Manager, Data Science	Montreal, QC
592	Associate Researcher	Montreal, QC
593	Junior Data Engineer (6 Month Contract)	Toronto, ON
594	Senior Data Scientist	Toronto, Ontario, Canada
595	Nonlinear Optics Research Scientist	Markham, ON
